entity_type,undated_count,basis,provenance,notes
INSTITUTIONS,4,Carried records without explicit dates (floruits/travel ranges in derived tables 2-3 are APPROX and excluded from decade counts),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
PEOPLE,20,Carried records without explicit dates (floruits/travel ranges in derived tables 2-3 are APPROX and excluded from decade counts),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
PERSON_EVENT,13,Carried records without explicit dates (floruits/travel ranges in derived tables 2-3 are APPROX and excluded from decade counts),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
PLACES,32,Carried records without explicit dates (floruits/travel ranges in derived tables 2-3 are APPROX and excluded from decade counts),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
PPL,18,Carried records without explicit dates (floruits/travel ranges in derived tables 2-3 are APPROX and excluded from decade counts),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
PTX,14,Carried records without explicit dates (floruits/travel ranges in derived tables 2-3 are APPROX and excluded from decade counts),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
RELS,10,Carried records without explicit dates (floruits/travel ranges in derived tables 2-3 are APPROX and excluded from decade counts),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
TRAVELS,10,Carried records without explicit dates (floruits/travel ranges in derived tables 2-3 are APPROX and excluded from decade counts),Derived 2026-08-17 from frozen V3.0 (read-only) by build_derived_tables.py; no new historical research.,
