buddhist_relevance,n_people,by_band,by_movement,by_direction,by_confidence,single_source,median_source_count,n_with_rels,n_with_ptx,n_with_events,basis,provenance,notes
PRIMARY,31,B1=18; B2=3; B4=2; B5=2; B6=6,visited=11; worked=4; studied=7; planned=1; -=8,INDIA_TO_KOREA=16; KOREA_TO_INDIA=11; BIDIRECTIONAL=3; UNCERTAIN=1,HIGH=14; MEDIUM=17; LOW=0; SPECULATIVE=0,6,2,8,9,2,"register.csv grouped by buddhist_relevance; source counts are evidence metadata, NOT importance",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,B1 vs B6 counts are NOT directly comparable without source-density qualification (see source_mix_by_band.csv)
SECONDARY,8,B1=0; B2=2; B4=2; B5=2; B6=2,visited=1; worked=0; studied=0; planned=0; -=7,INDIA_TO_KOREA=7; KOREA_TO_INDIA=0; BIDIRECTIONAL=1; UNCERTAIN=0,HIGH=4; MEDIUM=4; LOW=0; SPECULATIVE=0,1,2,5,2,0,"register.csv grouped by buddhist_relevance; source counts are evidence metadata, NOT importance",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,B1 vs B6 counts are NOT directly comparable without source-density qualification (see source_mix_by_band.csv)
MEDIATOR,4,B1=0; B2=1; B4=2; B5=1; B6=0,visited=0; worked=0; studied=0; planned=1; -=3,INDIA_TO_KOREA=4; KOREA_TO_INDIA=0; BIDIRECTIONAL=0; UNCERTAIN=0,HIGH=1; MEDIUM=3; LOW=0; SPECULATIVE=0,1,3,4,1,0,"register.csv grouped by buddhist_relevance; source counts are evidence metadata, NOT importance",Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,B1 vs B6 counts are NOT directly comparable without source-density qualification (see source_mix_by_band.csv)
