person_id,full_name,typology,movement_status,buddhist_relevance,connection_types,direction_of_influence,basis,provenance,notes
P-0034,Han Yong-un,TEXTUAL_MEDIATOR,-,PRIMARY,INDIRECT_INFLUENCE; TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0038,Mohandas Karamchand Gandhi,INDIRECT_INFLUENCER,-,MEDIATOR,INDIRECT_INFLUENCE,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0051,Ko Un,PILGRIM_VISITOR,visited,SECONDARY,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,BIDIRECTIONAL,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0052,Pŏpchŏng,PILGRIM_VISITOR,visited,PRIMARY,PHYSICAL_MOVEMENT; PERSON_ENCOUNTER,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0053,Lokesh Chandra,PILGRIM_VISITOR,visited,PRIMARY,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0054,Jung Seung-suk,TEXTUAL_MEDIATOR,-,SECONDARY,TEXTUAL_TRANSMISSION,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0055,U Myeong-ju,STUDENT,studied,PRIMARY,PHYSICAL_MOVEMENT; INSTITUTIONAL,BIDIRECTIONAL,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0062,Buddhavara (Ven.),RESIDENT_WORKER,worked,PRIMARY,PHYSICAL_MOVEMENT; INSTITUTIONAL,KOREA_TO_INDIA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0063,Hyoseok (Ven.),STUDENT,studied,PRIMARY,PHYSICAL_MOVEMENT; INSTITUTIONAL,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0064,Wookwan (Ven.),STUDENT,studied,PRIMARY,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,BIDIRECTIONAL,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0065,Gakseong (Ven.),STUDENT,studied,PRIMARY,PHYSICAL_MOVEMENT; INSTITUTIONAL,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0068,Sŏ Chŏng-ju,ENCOUNTER_FIGURE,-,SECONDARY,PERSON_ENCOUNTER,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0071,Vinoba Bhave,ENCOUNTER_FIGURE,-,MEDIATOR,PERSON_ENCOUNTER,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0072,Yi Yŏng-jae,PLANNED_PILGRIM,planned,PRIMARY,PHYSICAL_MOVEMENT; TEXTUAL_TRANSMISSION,KOREA_TO_INDIA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0073,Hwang Su-yŏng,PILGRIM_VISITOR,visited,PRIMARY,PHYSICAL_MOVEMENT,KOREA_TO_INDIA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0074,Muhak Chach'o,INDIRECT_INFLUENCER,-,MEDIATOR,INDIRECT_INFLUENCE,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0075,Baegun Gyeonghan,INDIRECT_INFLUENCER,-,SECONDARY,INDIRECT_INFLUENCE,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0076,Sitanshu Yashaschandra,ENCOUNTER_FIGURE,-,SECONDARY,PERSON_ENCOUNTER,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
P-0077,Ch'ukwŏn Chijŏn,INDIRECT_INFLUENCER,-,SECONDARY,INDIRECT_INFLUENCE,INDIA_TO_KOREA,movement_status + connection_type from classification_v3.csv,Derived 2026-08-17 from frozen V3.0 + analysis/data derived tables by build_prosopography.py; descriptive only.,
